category_round_id,round_name,score,ascents,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages
6141,Qualification,1.73,"[{'route_id': 1085, 'route_name': '1', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 1.5, 'score': 'TOP'}, {'route_id': 1086, 'route_name': '2', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 2, 'score': 'TOP'}]",2080,1.0,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,TOP,"[{'route_id': 5554, 'route_name': '1', 'top': True, 'score': 'TOP', 'plus': False, 'restarted': False, 'time_ms': 295000, 'modified': '2021-09-21 09:47:06 +00:00', 'status': 'confirmed'}]",2080,1.0,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6770,Final,TOP,"[{'route_id': 5556, 'route_name': '1', 'top': True, 'score': 'TOP', 'plus': False, 'restarted': False, 'time_ms': 292000, 'modified': '2021-09-21 19:00:07 +00:00', 'status': 'confirmed'}]",2080,1.0,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,2.45,"[{'route_id': 1085, 'route_name': '1', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 1.5, 'score': 'TOP'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 4, 'corrective_rank': 4, 'score': '41'}]",1803,2.0,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,TOP,"[{'route_id': 5554, 'route_name': '1', 'top': True, 'score': 'TOP', 'plus': False, 'restarted': False, 'time_ms': 326000, 'modified': '2021-09-21 09:32:57 +00:00', 'status': 'confirmed'}]",1803,2.0,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6770,Final,37 (4:22),"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '37', 'plus': False, 'restarted': False, 'time_ms': 262000, 'modified': '2021-09-21 18:54:09 +00:00', 'status': 'confirmed'}]",1803,2.0,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,2.45,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 3, 'corrective_rank': 3, 'score': '44'}, {'route_id': 1086, 'route_name': '2', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 2, 'score': 'TOP'}]",928,3.0,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,TOP,"[{'route_id': 5554, 'route_name': '1', 'top': True, 'score': 'TOP', 'plus': False, 'restarted': False, 'time_ms': 358000, 'modified': '2021-09-21 09:40:26 +00:00', 'status': 'confirmed'}]",928,3.0,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6770,Final,37 (5:01),"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '37', 'plus': False, 'restarted': False, 'time_ms': 301000, 'modified': '2021-09-21 18:53:58 +00:00', 'status': 'confirmed'}]",928,3.0,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,13.44,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 9, 'corrective_rank': 9.5, 'score': '36+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",1226,4.0,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,41+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '41+', 'plus': True, 'restarted': False, 'time_ms': 262000, 'modified': '2021-09-21 10:24:25 +00:00', 'status': 'locked'}]",1226,4.0,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6770,Final,36+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '36+', 'plus': True, 'restarted': False, 'time_ms': 272000, 'modified': '2021-09-21 18:40:48 +00:00', 'status': 'confirmed'}]",1226,4.0,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,5.48,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 5, 'corrective_rank': 6, 'score': '37+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 5, 'corrective_rank': 5, 'score': '40+'}]",1811,5.0,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,39+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39+', 'plus': True, 'restarted': False, 'time_ms': 364000, 'modified': '2021-09-21 09:20:21 +00:00', 'status': 'confirmed'}]",1811,5.0,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6770,Final,35+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '35+', 'plus': True, 'restarted': False, 'time_ms': 305000, 'modified': '2021-09-21 18:22:12 +00:00', 'status': 'confirmed'}]",1811,5.0,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,26.52,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 42, 'corrective_rank': 48.5, 'score': '19+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 14, 'corrective_rank': 14.5, 'score': '38+'}]",2381,6.0,Natsuki,TANII,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,41+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '41+', 'plus': True, 'restarted': False, 'time_ms': 274000, 'modified': '2021-09-21 07:29:04 +00:00', 'status': 'confirmed'}]",2381,6.0,Natsuki,TANII,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6770,Final,32+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '32+', 'plus': True, 'restarted': False, 'time_ms': 274000, 'modified': '2021-09-21 18:33:04 +00:00', 'status': 'confirmed'}]",2381,6.0,Natsuki,TANII,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,7.55,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 5, 'corrective_rank': 6, 'score': '37+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",68,7.0,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,39+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39+', 'plus': True, 'restarted': False, 'time_ms': 282000, 'modified': '2021-09-21 09:08:11 +00:00', 'status': 'confirmed'}]",68,7.0,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6770,Final,32+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '32+', 'plus': True, 'restarted': False, 'time_ms': 238000, 'modified': '2021-09-21 18:14:58 +00:00', 'status': 'confirmed'}]",68,7.0,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,16.88,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",467,8.0,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,40,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '40', 'plus': False, 'restarted': False, 'time_ms': 268000, 'modified': '2021-09-21 10:24:08 +00:00', 'status': 'locked'}]",467,8.0,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6770,Final,25+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '25+', 'plus': True, 'restarted': False, 'time_ms': 184000, 'modified': '2021-09-21 18:26:52 +00:00', 'status': 'confirmed'}]",467,8.0,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,8.72,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 8, 'corrective_rank': 8, 'score': '37'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",1400,9.0,Eliska,ADAMOVSKA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,39+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39+', 'plus': True, 'restarted': False, 'time_ms': 342000, 'modified': '2021-09-21 09:01:56 +00:00', 'status': 'confirmed'}]",1400,9.0,Eliska,ADAMOVSKA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,9.8,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 5, 'corrective_rank': 6, 'score': '37+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 16, 'corrective_rank': 16, 'score': '38'}]",12845,10.0,Momoko,ABE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,39+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39+', 'plus': True, 'restarted': False, 'time_ms': 280000, 'modified': '2021-09-21 08:50:24 +00:00', 'status': 'confirmed'}]",12845,10.0,Momoko,ABE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,11.94,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",642,11.0,Molly,THOMPSON-SMITH,,,GBR,11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,39,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39', 'plus': False, 'restarted': False, 'time_ms': 248000, 'modified': '2021-09-21 10:24:37 +00:00', 'status': 'locked'}]",642,11.0,Molly,THOMPSON-SMITH,,,GBR,11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,14.62,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",11464,12.0,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,38,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '38', 'plus': False, 'restarted': False, 'time_ms': 294000, 'modified': '2021-09-21 08:26:19 +00:00', 'status': 'confirmed'}]",11464,12.0,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,10.45,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 11, 'corrective_rank': 11.5, 'score': '36'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",11783,13.0,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,37,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '37', 'plus': False, 'restarted': False, 'time_ms': 260000, 'modified': '2021-09-21 08:44:05 +00:00', 'status': 'confirmed'}]",11783,13.0,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,4.8,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 11, 'corrective_rank': 11.5, 'score': '36'}, {'route_id': 1086, 'route_name': '2', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 2, 'score': 'TOP'}]",1160,14.0,Lucka,RAKOVEC,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,35+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '35+', 'plus': True, 'restarted': False, 'time_ms': 244000, 'modified': '2021-09-21 09:25:29 +00:00', 'status': 'confirmed'}]",1160,14.0,Lucka,RAKOVEC,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,16.88,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",147,15.0,Viktoriia,MESHKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,33+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '33+', 'plus': True, 'restarted': False, 'time_ms': 227000, 'modified': '2021-09-21 08:04:51 +00:00', 'status': 'confirmed'}]",147,15.0,Viktoriia,MESHKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6141,Qualification,6.16,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 4, 'corrective_rank': 4, 'score': '41'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",1153,16.0,Vita,LUKAN,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6768,Semi-Final,30,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '30', 'plus': False, 'restarted': False, 'time_ms': 220000, 'modified': '2021-09-21 09:12:43 +00:00', 'status': 'confirmed'}]",1153,16.0,Vita,LUKAN,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
